Main function started
Starting to load data...
AutoMPG Object Created: Make = chevrolet, Model = chevelle malibu, Year = 70, MPG = 18.0 
AutoMPG Object Created: Make = toyota, Model = corolla, Year = 80, MPG = 32.2 
AutoMPG Object Created: Make = mazda, Model = glc, Year = 80, MPG = 46.6 
AutoMPG Object Created: Make = dodge, Model = colt, Year = 80, MPG = 27.9 
AutoMPG Object Created: Make = datsun, Model = 210, Year = 80, MPG = 40.8 
Cleaning typo: vw
Typo cleaned to: volkswagen
AutoMPG Object Created: Make = volkswagen, Model = rabbit c (diesel), Year = 80, MPG = 44.3 
Cleaning typo: vw
Typo cleaned to: volkswagen
AutoMPG Object Created: Make = volkswagen, Model = dasher (diesel), Year = 80, MPG = 43.4 
AutoMPG Object Created: Make = audi, Model = 5000s (diesel), Year = 80, MPG = 36.4 
Cleaning typo: mercedes-benz
Typo cleaned to: mercedes
AutoMPG Object Created: Make = mercedes, Model = 240d, Year = 80, MPG = 30.0 
AutoMPG Object Created: Make = honda, Model = civic 1500 gl, Year = 80, MPG = 44.6 
AutoMPG Object Created: Make = renault, Model = lecar deluxe, Year = 80, MPG = 40.9 
AutoMPG Object Created: Make = subaru, Model = dl, Year = 80, MPG = 33.8 
Cleaning typo: vokswagen
Typo cleaned to: volkswagen
AutoMPG Object Created: Make = volkswagen, Model = rabbit, Year = 80, MPG = 29.8 
AutoMPG Object Created: Make = datsun, Model = 280-zx, Year = 80, MPG = 32.7 
AutoMPG Object Created: Make = mazda, Model = rx-7 gs, Year = 80, MPG = 23.7 
AutoMPG Object Created: Make = triumph, Model = tr7 coupe, Year = 80, MPG = 35.0 
AutoMPG Object Created: Make = ford, Model = mustang cobra, Year = 80, MPG = 23.6 
AutoMPG Object Created: Make = honda, Model = accord, Year = 80, MPG = 32.4 
AutoMPG Object Created: Make = plymouth, Model = reliant, Year = 81, MPG = 27.2 
AutoMPG Object Created: Make = buick, Model = skylark, Year = 81, MPG = 26.6 
AutoMPG Object Created: Make = dodge, Model = aries wagon (sw), Year = 81, MPG = 25.8 
AutoMPG Object Created: Make = chevrolet, Model = citation, Year = 81, MPG = 23.5 
AutoMPG Object Created: Make = plymouth, Model = reliant, Year = 81, MPG = 30.0 
AutoMPG Object Created: Make = toyota, Model = starlet, Year = 81, MPG = 39.1 
AutoMPG Object Created: Make = plymouth, Model = champ, Year = 81, MPG = 39.0 
AutoMPG Object Created: Make = honda, Model = civic 1300, Year = 81, MPG = 35.1 
AutoMPG Object Created: Make = subaru, Model = , Year = 81, MPG = 32.3 
AutoMPG Object Created: Make = datsun, Model = 210 mpg, Year = 81, MPG = 37.0 
AutoMPG Object Created: Make = toyota, Model = tercel, Year = 81, MPG = 37.7 
AutoMPG Object Created: Make = mazda, Model = glc 4, Year = 81, MPG = 34.1 
AutoMPG Object Created: Make = plymouth, Model = horizon 4, Year = 81, MPG = 34.7 
AutoMPG Object Created: Make = ford, Model = escort 4w, Year = 81, MPG = 34.4 
AutoMPG Object Created: Make = ford, Model = escort 2h, Year = 81, MPG = 29.9 
AutoMPG Object Created: Make = volkswagen, Model = jetta, Year = 81, MPG = 33.0 
AutoMPG Object Created: Make = renault, Model = 18i, Year = 81, MPG = 34.5 
AutoMPG Object Created: Make = honda, Model = prelude, Year = 81, MPG = 33.7 
AutoMPG Object Created: Make = toyota, Model = corolla, Year = 81, MPG = 32.4 
AutoMPG Object Created: Make = datsun, Model = 200sx, Year = 81, MPG = 32.9 
AutoMPG Object Created: Make = mazda, Model = 626, Year = 81, MPG = 31.6 
AutoMPG Object Created: Make = peugeot, Model = 505s turbo diesel, Year = 81, MPG = 28.1 
AutoMPG Object Created: Make = volvo, Model = diesel, Year = 81, MPG = 30.7 
AutoMPG Object Created: Make = toyota, Model = cressida, Year = 81, MPG = 25.4 
AutoMPG Object Created: Make = datsun, Model = 810 maxima, Year = 81, MPG = 24.2 
AutoMPG Object Created: Make = buick, Model = century, Year = 81, MPG = 22.4 
AutoMPG Object Created: Make = oldsmobile, Model = cutlass ls, Year = 81, MPG = 26.6 
AutoMPG Object Created: Make = ford, Model = granada gl, Year = 81, MPG = 20.2 
AutoMPG Object Created: Make = chrysler, Model = lebaron salon, Year = 81, MPG = 17.6 
AutoMPG Object Created: Make = chevrolet, Model = cavalier, Year = 82, MPG = 28.0 
AutoMPG Object Created: Make = chevrolet, Model = cavalier wagon, Year = 82, MPG = 27.0 
AutoMPG Object Created: Make = chevrolet, Model = cavalier 2-door, Year = 82, MPG = 34.0 
AutoMPG Object Created: Make = pontiac, Model = j2000 se hatchback, Year = 82, MPG = 31.0 
AutoMPG Object Created: Make = dodge, Model = aries se, Year = 82, MPG = 29.0 
AutoMPG Object Created: Make = pontiac, Model = phoenix, Year = 82, MPG = 27.0 
AutoMPG Object Created: Make = ford, Model = fairmont futura, Year = 82, MPG = 24.0 
AutoMPG Object Created: Make = amc, Model = concord dl, Year = 82, MPG = 23.0 
AutoMPG Object Created: Make = volkswagen, Model = rabbit l, Year = 82, MPG = 36.0 
AutoMPG Object Created: Make = mazda, Model = glc custom l, Year = 82, MPG = 37.0 
AutoMPG Object Created: Make = mazda, Model = glc custom, Year = 82, MPG = 31.0 
AutoMPG Object Created: Make = plymouth, Model = horizon miser, Year = 82, MPG = 38.0 
AutoMPG Object Created: Make = mercury, Model = lynx l, Year = 82, MPG = 36.0 
AutoMPG Object Created: Make = nissan, Model = stanza xe, Year = 82, MPG = 36.0 
AutoMPG Object Created: Make = honda, Model = accord, Year = 82, MPG = 36.0 
AutoMPG Object Created: Make = toyota, Model = corolla, Year = 82, MPG = 34.0 
AutoMPG Object Created: Make = honda, Model = civic, Year = 82, MPG = 38.0 
AutoMPG Object Created: Make = honda, Model = civic (auto), Year = 82, MPG = 32.0 
AutoMPG Object Created: Make = datsun, Model = 310 gx, Year = 82, MPG = 38.0 
AutoMPG Object Created: Make = buick, Model = century limited, Year = 82, MPG = 25.0 
AutoMPG Object Created: Make = oldsmobile, Model = cutlass ciera (diesel), Year = 82, MPG = 38.0 
AutoMPG Object Created: Make = chrysler, Model = lebaron medallion, Year = 82, MPG = 26.0 
AutoMPG Object Created: Make = ford, Model = granada l, Year = 82, MPG = 22.0 
AutoMPG Object Created: Make = toyota, Model = celica gt, Year = 82, MPG = 32.0 
AutoMPG Object Created: Make = dodge, Model = charger 2.2, Year = 82, MPG = 36.0 
AutoMPG Object Created: Make = chevrolet, Model = camaro, Year = 82, MPG = 27.0 
AutoMPG Object Created: Make = ford, Model = mustang gl, Year = 82, MPG = 27.0 
Cleaning typo: vw
Typo cleaned to: volkswagen
AutoMPG Object Created: Make = volkswagen, Model = pickup, Year = 82, MPG = 44.0 
AutoMPG Object Created: Make = dodge, Model = rampage, Year = 82, MPG = 32.0 
AutoMPG Object Created: Make = ford, Model = ranger, Year = 82, MPG = 28.0 
Cleaning typo: chevy
Typo cleaned to: chevrolet
AutoMPG Object Created: Make = chevrolet, Model = s-10, Year = 82, MPG = 31.0 
Finished loading data
Warning - Improper Usage. Usage: usage: autompg3.py [-h] [-s <sort order>] [-o OFILE] [-p] <command>

Sorting by default...
sort_by_default function used
Sorted by default
Ofile called. Writing header
Main function ended
